categoria,subcategoria,clase,autor,titulo,edicion,ciudad,anio,editorial,pagina,ilustrador,isbn,cantidad,estado,ubicacion,revisar,notas_revision,texto_original
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-01,"CABRERA, Elsa",DIBUJO TÉCNICO N°1,2,Mexico,1994,trillas,119,,968-24-5022-5,1,B,Biblioteca,False,,"CABRERA. Elsa. DIBUJO TÉCNICO N°1. 2 Edicion. Mexico, 1994. Editorial trillas. Pag. 119. ISBN. 968-24-5022-5."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-02,"CABRERA, Elsa",DIBUJO TÉCNICO N°2,2,Mexico,1994,trillas,113,,968-24-5023-3,1,B,Biblioteca,False,,"CABRERA. Elsa. DIBUJO TÉCNICO N°2. 2 Edicion. Mexico, 1994. Editorial trillas. Pag. 113. ISBN. 968-24-5023-3."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-03,"CABRERA, Elsa",DIBUJO TÉCNICO N°3,1,Mexico,1994,trillas,195,,968-24-5106-X,1,B,Biblioteca,False,,"CABRERA. Elsa. DIBUJO TÉCNICO N°3. 1 Edicion. Mexico, 1994. Editorial trillas. Pag. 195. ISBN. 968-24-5106-X."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-04,"CLESSENS, Michel",LOS DESCUBRIMIENTOS CIENTÍFICOS CONTEMPORÁNEOS,2,Barcelona,1999,gedisa,225,Juan Santana,84-7432-353-3,1,B,Biblioteca,False,,"CLESSENS. Michel. LOS DESCUBRIMIENTOS CIENTÍFICOS CONTEMPORÁNEOS. 2 Edicion. Barcelona, 1999. Editorial gedisa. Pag. 225. Ilus. Juan Santana. ISBN. 84-7432-353-3."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-05,"BABINI, Jose",HISTORIA DE LA MEDICINA,2,Barcelona,2000,gedisa,172,Juan Santana,84-7432-826-8,1,B,Biblioteca,False,,"BABINI. Jose. HISTORIA DE LA MEDICINA. 2 Edicion. Barcelona, 2000. Editorial gedisa. Pag. 172. Ilus. Juan Santana. ISBN. 84-7432-826-8."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-06,"RIDEY, Matt",GENOMA LA AUTOBIOGRAFÍA DE UNA ESPECIE EN 23 CAPÍTULOS,5,Madrid,2001,taurus,338,Sonia Sanchez,84-306-0414-6,1,B,Biblioteca,False,,"RIDEY. Matt. GENOMA LA AUTOBIOGRAFÍA DE UNA ESPECIE EN 23 CAPÍTULOS. 5 Edicion. Madrid, 2001. Editorial taurus. Pag. 338. Ilus. Sonia Sanchez. ISBN. 84-306-0414-6."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-07,"LEE, Thomas F",EL PROYECTO GENOMA HUMANO,2,Barcelona,2000,gedisa,307,Juan Santana,84-7432-507-2,1,B,Biblioteca,False,,"LEE. Thomas F. EL PROYECTO GENOMA HUMANO. 2 Edicion. Barcelona, 2000. Editorial gedisa. Pag. 307. Ilus. Juan Santana. ISBN. 84-7432- 507-2."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-08,"MORA, Francisco",EL RELOJ DE LA SABIDURÍA TIEMPOS Y ESPACIOS EN EL CEREBRO HUMANO,3,Madrid,2002,Analiza ensayo,210,,84-206-6776-5,1,B,Biblioteca,False,,"MORA. Francisco. EL RELOJ DE LA SABIDURÍA TIEMPOS Y ESPACIOS EN EL CEREBRO HUMANO. 3 Edicion. Madrid, 2002. Editorial Analiza ensayo. Pag. 210. ISBN. 84-206-6776-5."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-09,"BEOTAS, Enrique",EL GRAN LIBRO DE LOS CONSEJOS MÉDICOS Y DE LA VIDA SALUDABLE LA REBOTICA,1,Madrid,2001,artes graficas huertas S,339,,84-8460-075-0,1,B,Biblioteca,False,,"BEOTAS. Enrique. EL GRAN LIBRO DE LOS CONSEJOS MÉDICOS Y DE LA VIDA SALUDABLE LA REBOTICA. 1 Edicion. Madrid, 2001. Editorial artes graficas huertas S.A. Pag. 339. ISBN. 84-8460-075-0."
1. ARTES Y BELLAS ARTES,LAS ARTES - BELLAS ARTES Y ARTES DECORATIVAS,14-09-10,"FELDENKRAIS, Moshe",AUTOCONCIENCIA POR EL MOVIMIENTO,10,Barcelona,1997,,188,Juliuo Vivas,84-493-0392-3,1,B,Biblioteca,False,,FELDENKRAIS. Moshe. AUTOCONCIENCIA POR EL MOVIMIENTO. 10 Edicion. Barcelona. 1997. Pag. 188. Ilus. Juliuo Vivas. ISBN. 84-493-0392-3.
